Emin,Emax,dN/dE
0.0,0.01,0.0419738561220136
0.01,0.0199999999999999,0.0413630546075085
0.0199999999999999,0.03,0.0413630546075085
0.03,0.04,0.0413630546075085
0.04,0.0499999999999999,0.0413630546075085
0.0499999999999999,0.06,0.0413630546075085
0.06,0.07,0.0413630546075085
0.07,0.0799999999999999,0.0413630546075085
0.0799999999999999,0.09,0.0413630546075085
0.09,0.0999999999999999,0.0413630546075085
0.0999999999999999,0.1099999999999999,0.0508741067619454
0.1099999999999999,0.1199999999999999,0.0585527543728669
0.1199999999999999,0.1299999999999999,0.0604724162755972
0.1299999999999999,0.1399999999999999,0.0624793355375426
0.1399999999999999,0.15,0.0662314019837884
0.15,0.1599999999999999,0.0698962110708191
0.1599999999999999,0.17,0.0718158729735495
0.17,0.18,0.0754806820605802
0.18,0.19,0.0788837190699658
0.19,0.2,0.0804543515358361
0.2,0.21,0.0839446459044368
0.21,0.22,0.0872604255546075
0.22,0.23,0.0887438006612628
0.23,0.24,0.0917105508745733
0.24,0.25,0.0939792422141638
0.25,0.26,0.0957243893984641
0.26,0.2700000000000001,0.0961606761945392
0.2700000000000001,0.2800000000000001,0.0960734188353242
0.2800000000000001,0.2900000000000001,0.094851815806314
0.2900000000000001,0.3000000000000001,0.0937174701365187
0.3000000000000001,0.3100000000000001,0.0903144331271331
0.3100000000000001,0.3200000000000001,0.0874349402730375
0.3200000000000001,0.3300000000000001,0.0863878519624573
0.3300000000000001,0.3400000000000001,0.0860388225255972
0.3400000000000001,0.3500000000000001,0.0856897930887372
0.3500000000000001,0.3600000000000001,0.0854280210110921
0.3600000000000001,0.3700000000000001,0.0852535062926621
0.3700000000000001,0.3800000000000001,0.0850789915742321
0.3800000000000001,0.3900000000000002,0.0850789915742321
0.3900000000000002,0.4000000000000002,0.0852535062926621
0.4000000000000002,0.4100000000000002,0.084904476855802
0.4100000000000002,0.4200000000000002,0.084904476855802
0.4200000000000002,0.4300000000000001,0.084904476855802
0.4300000000000001,0.4400000000000002,0.0851662489334471
0.4400000000000002,0.4500000000000002,0.0851662489334471
0.4500000000000002,0.4600000000000002,0.0850789915742321
0.4600000000000002,0.4700000000000002,0.0851662489334471
0.4700000000000002,0.4800000000000002,0.084904476855802
0.4800000000000002,0.4900000000000002,0.0851662489334471
0.4900000000000002,0.5000000000000002,0.084817219496587
0.5000000000000002,0.5100000000000002,0.0850789915742321
0.5100000000000002,0.5200000000000002,0.0850789915742321
0.5200000000000002,0.5300000000000002,0.084991734215017
0.5300000000000002,0.5400000000000003,0.0851662489334471
0.5400000000000003,0.5500000000000003,0.084991734215017
0.5500000000000003,0.5600000000000003,0.084991734215017
0.5600000000000003,0.5700000000000003,0.0852535062926621
0.5700000000000003,0.5800000000000003,0.084904476855802
0.5800000000000003,0.5900000000000003,0.0853407636518771
0.5900000000000003,0.6000000000000003,0.0852535062926621
0.6000000000000003,0.6100000000000003,0.0850789915742321
0.6100000000000003,0.6200000000000003,0.0850789915742321
0.6200000000000003,0.6300000000000003,0.0852535062926621
0.6300000000000003,0.6400000000000003,0.0852535062926621
0.6400000000000003,0.6500000000000004,0.0852535062926621
0.6500000000000004,0.6600000000000004,0.0854280210110921
0.6600000000000004,0.6700000000000004,0.0857770504479522
0.6700000000000004,0.6800000000000004,0.0863878519624573
0.6800000000000004,0.6900000000000004,0.0856897930887372
0.6900000000000004,0.7000000000000004,0.0863005946032423
0.7000000000000004,0.7100000000000004,0.0865623666808873
0.7100000000000004,0.7200000000000004,0.0868241387585324
0.7200000000000004,0.7300000000000004,0.0881329991467576
0.7300000000000004,0.7400000000000004,0.0887438006612628
0.7400000000000004,0.7500000000000004,0.0885692859428327
0.7500000000000004,0.7600000000000005,0.0887438006612628
0.7600000000000005,0.7700000000000005,0.0861260798848123
0.7700000000000005,0.7800000000000005,0.0880457417875426
0.7800000000000005,0.7900000000000005,0.0857770504479522
0.7900000000000005,0.8000000000000005,0.0838573885452218
0.8000000000000005,0.8100000000000005,0.0824612707977815
0.8100000000000005,0.8200000000000004,0.0821994987201365
0.8200000000000004,0.8300000000000005,0.0808033809726962
0.8300000000000005,0.8600000000000005,0.0793200058660409
0.8600000000000005,0.8700000000000004,0.0751316526237201
0.8700000000000004,0.8800000000000006,0.0754806820605802
0.8800000000000006,0.8900000000000006,0.07478262318686
0.8900000000000006,0.9000000000000007,0.07478262318686
0.9000000000000007,0.9100000000000006,0.0756551967790102
0.9100000000000006,0.9200000000000008,0.0764405130119454
0.9200000000000008,0.9300000000000006,0.0767022850895904
0.9300000000000006,0.9400000000000004,0.0766150277303754
0.9400000000000004,0.9500000000000008,0.0763532556527303
0.9500000000000008,0.9600000000000009,0.0753934247013652
0.9600000000000009,0.9700000000000008,0.0740845643131399
0.9700000000000008,0.9800000000000008,0.0714668435366894
0.9800000000000008,0.9900000000000008,0.069372666915529
