E,dE
0,0.04197385612201368
0.010000000000000002,0.04136305460750856
0.019999999999999997,0.04136305460750856
0.030000000000000006,0.04136305460750856
0.04,0.04136305460750856
0.049999999999999996,0.04136305460750856
0.060000000000000005,0.04136305460750856
0.07,0.04136305460750856
0.07999999999999999,0.04136305460750856
0.09,0.04136305460750856
0.09999999999999998,0.05087410676194542
0.10999999999999999,0.058552754372866916
0.11999999999999997,0.06047241627559729
0.12999999999999998,0.06247933553754268
0.13999999999999999,0.06623140198378841
0.15,0.06989621107081913
0.15999999999999998,0.07181587297354951
0.17,0.07548068206058021
0.18000000000000002,0.07888371906996589
0.19,0.08045435153583619
0.2,0.08394464590443687
0.21000000000000002,0.08726042555460752
0.22000000000000003,0.0887438006612628
0.23000000000000004,0.09171055087457339
0.24000000000000005,0.09397924221416383
0.25000000000000006,0.09572438939846417
0.26000000000000006,0.09616067619453926
0.2700000000000001,0.09607341883532423
0.2800000000000001,0.094851815806314
0.2900000000000001,0.09371747013651878
0.3000000000000001,0.09031443312713311
0.3100000000000001,0.08743494027303755
0.3200000000000001,0.08638785196245735
0.3300000000000001,0.08603882252559727
0.34000000000000014,0.08568979308873721
0.35000000000000014,0.08542802101109216
0.36000000000000015,0.08525350629266212
0.37000000000000016,0.0850789915742321
0.38000000000000017,0.0850789915742321
0.3900000000000002,0.08525350629266212
0.4000000000000002,0.08490447685580206
0.4100000000000002,0.08490447685580206
0.42000000000000026,0.08490447685580206
0.43000000000000016,0.08516624893344711
0.4400000000000002,0.08516624893344711
0.45000000000000023,0.0850789915742321
0.46000000000000024,0.08516624893344711
0.47000000000000025,0.08490447685580206
0.48000000000000026,0.08516624893344711
0.49000000000000027,0.08481721949658705
0.5000000000000002,0.0850789915742321
0.5100000000000002,0.0850789915742321
0.5200000000000002,0.08499173421501707
0.5300000000000002,0.08516624893344711
0.5400000000000003,0.08499173421501707
0.5500000000000003,0.08499173421501707
0.5600000000000003,0.08525350629266212
0.5700000000000003,0.08490447685580206
0.5800000000000003,0.08534076365187715
0.5900000000000003,0.08525350629266212
0.6000000000000003,0.0850789915742321
0.6100000000000003,0.0850789915742321
0.6200000000000003,0.08525350629266212
0.6300000000000003,0.08525350629266212
0.6400000000000003,0.08525350629266212
0.6500000000000004,0.08542802101109216
0.6600000000000004,0.08577705044795222
0.6700000000000004,0.08638785196245735
0.6800000000000004,0.08568979308873721
0.6900000000000004,0.08630059460324233
0.7000000000000004,0.08656236668088738
0.7100000000000004,0.08682413875853243
0.7200000000000004,0.08813299914675769
0.7300000000000004,0.0887438006612628
0.7400000000000004,0.08856928594283278
0.7500000000000004,0.0887438006612628
0.7600000000000005,0.0861260798848123
0.7700000000000005,0.08804574178754267
0.7800000000000005,0.08577705044795222
0.7900000000000005,0.08385738854522186
0.8000000000000005,0.08246127079778158
0.8100000000000005,0.08219949872013653
0.8200000000000004,0.08080338097269626
0.8300000000000005,0.07932000586604096
0.8600000000000005,0.07513165262372015
0.8700000000000004,0.07548068206058021
0.8800000000000006,0.07478262318686008
0.8900000000000006,0.07478262318686008
0.9000000000000007,0.07565519677901025
0.9100000000000006,0.0764405130119454
0.9200000000000007,0.07670228508959046
0.9300000000000006,0.07661502773037544
0.9400000000000005,0.07635325565273039
0.9500000000000007,0.0753934247013652
0.9600000000000007,0.07408456431313995
0.9700000000000008,0.07146684353668943
0.9800000000000008,0.06937266691552903
0.9900000000000008,0.06675494613907851
